Facultad,Carrera,Precio,Semestre,Materias
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 1,Introducción a la psicología general y evolutiva;Fundamentos de trabajo social I;Introducción a las ciencias sociales;El arte de investigar;Habilidades comunicativas I
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 2,Epistemología de las ciencias sociales;Fundamentos de trabajo social II;Fundamentos de economía;Trabajo social e interculturalidad;Habilidades comunicativas II
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 3,Historia de América Latina;Trabajo social con individuos;Fundamentos de investigación cuantitativa;Teorías y contextos del desarrollo social humano;Estadística
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 4,Psicología social y comunitaria;Trabajo social con familias;Fundamentos de investigación cualitativa;Teoría política y derechos humanos;Electiva I
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 5,Problemas sociales I;Trabajo social con grupos;Movimientos sociales y participación ciudadana;Ecología política;Electiva II;Inglés I
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 6,Planeación y programas de desarrollo social y humano;Trabajo social con comunidad;Metodología de investigación cualitativa;Electiva III;Inglés II
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 7,Gerencia social y políticas públicas;Metodología y campos de la intervención en trabajo social;Gestión y evaluación de proyectos sociales;Pensamiento lógico matemático;Electiva IV;Inglés III
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 8,Introducción a las prácticas;Ética del trabajador social;Pedagogía social y procesos comunitarios;Trabajo de grado I;Emprendimiento e innovación;Inglés IV
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 9,Práctica profesional I formulación de proyecto;Trabajo de grado II;Electiva V;Inglés V
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 10,Práctica profesional II gestión de proyecto;Trabajo de grado III;Electiva VI;Inglés VI
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,LÍNEA DE DESARROLLO HUMANO Y SOCIAL,"Electiva 1: Trabajo social, trayectorias y grupos poblacionales;Electiva 2: Conflicto, posconflicto y construcción de paz;Electiva 3: Género e interseccionalidad;Electiva 4: Salud pública y desarrollo humano;Electiva 5: Desarrollo  humano, organizacional y gestión del talento humano;Electiva 6: Trabajo social y migraciones"
Facultad De Educacion Y Ciencias Sociales,Trabajo Social,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,LÍNEA DE DESARROLLO COMUNITARIO,"Electiva 1: Gestión ambiental y desarrollo comunitario;Electiva 2: Territorio, hábitat y desarrollo comunitario;Electiva 3: Ruralidades y desarrollo comunitario;Electiva 4: Trabajo social en el campo socio jurídico;Electiva 5: Comunicación y TICs para el desarrollo comunitario;Electiva 6: Taller de técnicas participativas y desarrollo comunitario"
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 1,Psicología General;Bases Psicobiológicas del Comportamiento;Procesos Psicológicos I;Epistemología de las Ciencias Sociales;Habilidades Comunicativas
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 2,Psicología de la Infancia y la adolescencia;Neuropsicología;Procesos Psicológicos II;Psicología social;Estadística;Inglés I
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 3,Psicología de la adultez y la vejez;Psicopatología I;Teorías de la personalidad;Psicología educativa;Razonamiento cuantitativo y pensamiento lógico;Inglés II
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 4,Psicología Cognitiva;Psicopatología II;Medición y Evaluación Psicológica;Intervención en Psicología Social;Electiva I;Inglés III
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 5,Psicología Dinámica;Entrevista Psicologica;Intervención en Psicología Educativa;Métodos de Investigación Cuantitativa;Electiva 2;Inglés IV
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 6,Psicología Humanista existencial;Campo de actuación social;Campo de actuación educativa;Ética general y profesional;Métodos de Investigación Cualitativa;Electiva 3;Inglés V
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 7,Campo de actuación clínico;Campo de actuación Organizacional;Seminario de Introducción a las practicas Institucionales;Seminario de proyectos de Investigación en Psicologíaminario de Introducción a las practicas Institucionales;Electiva 4;Inglés VI
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 8,Seminario de profundización I: Escuela aplicada al campo de actuación;Práctica profesional I;Trabajo de grado I;Emprendimiento
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 9,Seminario de profundización II: Escuela aplicada al campo de actuación;Práctica profesional II;Trabajo de grado II
Facultad De Educacion Y Ciencias Sociales,Psicologia,Valor Inscripción $14.100 Valor matrícula 2 SMMLV,SEMESTRE 10,Seminario de profundización III: Escuela aplicada al campo de actuación;Práctica profesional III;Trabajo de grado III
